,title,region,version,crc32,status,Project Lunar Version,notes,EXTRA FILES,,,,,,,,,,,,,,,,,
,Animaniacs,USA,,86224D86,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Another World,Europe,,E9742041,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Aoki Ookami to Shiroki Mejika - Genchou Hishi,Japan,,10BE1D93,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,"Aquatic Games Starring James Pond and the Aquabats, The","USA, Europe",,400F4BA7,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Arcade Classics,"USA, Europe",,8AED2090,Works,,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Arcade Legends Sega Mega Drive ~ Arcade Legends Sega Genesis ~ Mega Drive Play TV,World,,2362F1B9,Doesn't Work,1.0.7251.40474,Black Screen,,,,,,,,,,,,,,,,,,
,Arcade Legends Street Fighter II' - Special Champion Edition ~ Mega Drive Play TV 3,World,,12CAA444,Doesn't Work,1.0.7251.40474,Black Screen,,,,,,,,,,,,,,,,,,
,Arch Rivals - The Arcade Game,"USA, Europe",,E389D7E7,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Arcus Odyssey,Japan,,41C5FB4F,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Arcus Odyssey,USA,,BC4D9B20,Works,,,,,,,,,,,,,,,,,,,,
,Ariel the Little Mermaid,"USA, Europe",,58E297DF,Works,,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Ariel the Little Mermaid,"USA, Europe",Sega Channel,2B3F375E,Works,1.0.7251.40474,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Arnold Palmer Tournament Golf,"USA, Europe",,35B995EF,Works,,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Arrow Flash,"Japan, Europe",,D49F8444,Works,1.0.7251.40474,Force Japan (NTSC),,,,,,,,,,,,,,,,,,
,Arrow Flash,USA,,4D89E66B,Works,,,,,,,,,,,,,,,,,,,,
,Art Alive,World,,F1B72CDD,Works,,Force USA (NTSC),,,,,,,,,,,,,,,,,,
,Art of Fighting,Europe,,9970C422,Works,1.0.7251.40474,,,,,,,,,,,,,,,,,,,
,Art of Fighting,USA,,C9A57E07,Works,,,,,,,,,,,,,,,,,,,,
,Asterix and the Great Rescue,Europe,,4735FEE6,Unplayable,1.0.7251.40474,Loads and runs. Has graphical glitches,,,,,,,,,,,,,,,,,,
,Asterix and the Great Rescue,USA,,7F112CD8,Unplayable,,Loads and runs. Has graphical glitches,,,,,,,,,,,,,,,,,,
